age,job,marital,education,balance,housing,duration,campaign,deposit
27,3,1,1,893,0,154,2,1
33,3,0,1,318,1,1190,1,1
25,5,0,0,1857,1,295,4,1
38,1,1,0,728,1,286,1,0
32,11,0,1,922,0,338,2,0
54,1,2,1,2133,0,176,1,0
47,5,1,0,1388,1,119,2,0
42,5,1,3,149,1,329,3,0
46,0,1,0,179,1,194,4,0
60,0,1,3,738,0,529,3,0
55,6,2,0,309,0,167,1,1
64,4,1,3,679,0,167,1,1
60,0,1,3,478,0,173,2,1
47,0,1,0,1210,0,604,1,1
57,1,2,1,96,0,913,4,1
57,7,1,3,657,0,344,1,0
46,8,2,2,2084,1,1081,2,1
35,1,0,2,744,1,1096,1,0
41,5,1,2,449,1,10,6,0
42,3,0,1,0,1,824,1,1
38,7,1,0,593,1,1484,24,1
56,1,1,0,2847,0,327,1,1
44,5,1,2,2657,1,202,2,0
26,11,0,3,2503,0,121,1,0
51,3,1,1,469,0,200,1,1
42,5,1,2,2103,1,384,2,1
21,11,0,0,2488,0,661,2,1
60,4,1,0,1853,0,234,1,1
32,1,0,0,1732,1,1871,3,1
36,5,2,0,7051,0,106,13,0
50,9,1,2,341,1,670,4,1
48,3,1,1,1147,0,155,1,1
46,0,2,0,2232,0,121,1,1
54,6,2,0,1664,0,257,3,1
33,3,0,1,3161,1,313,3,1
60,4,2,0,-639,1,585,1,1
57,3,1,0,123,0,154,2,0
38,10,1,0,30,0,91,1,0
40,1,1,0,40,1,73,1,0
56,5,1,0,316,1,27,1,0
49,1,1,1,1071,0,225,1,1
78,4,1,2,240,0,325,1,1
39,8,1,2,2460,0,194,3,0
55,4,1,0,102,1,74,1,0
33,1,1,1,1699,0,202,1,1
30,1,0,1,0,0,214,2,0
62,10,2,0,0,1,158,1,1
32,1,0,3,491,0,474,7,1
41,2,2,0,727,1,246,1,0
44,3,1,1,1791,0,71,1,1
26,5,1,0,895,1,820,3,0
39,3,0,1,307,0,182,2,1
51,7,1,2,805,1,132,4,0
43,3,1,1,1429,1,1030,1,1
59,4,1,2,3648,0,257,2,1
47,2,1,0,0,1,173,1,0
54,0,1,0,0,0,565,1,1
42,3,1,1,36,0,664,3,1
27,11,0,1,3733,1,299,6,1
75,4,2,2,3881,1,136,3,1
48,6,2,0,201,0,594,1,1
37,1,1,0,5115,1,1210,2,1
36,3,1,1,0,0,645,9,1
31,3,1,1,1230,1,290,4,0
31,1,0,1,454,0,266,1,1
36,1,0,0,664,0,309,3,0
46,3,1,1,4,0,1206,4,1
51,2,1,3,5801,1,147,2,0
33,3,0,1,3770,0,757,2,0
38,3,1,1,1440,0,111,2,0
40,5,1,2,2171,1,97,1,0
23,2,0,0,488,0,236,1,1
56,5,1,0,385,0,210,3,0
34,3,1,0,1007,1,240,2,0
31,5,1,0,1766,0,166,2,1
31,5,1,2,-848,1,559,3,0
46,3,1,1,-337,0,120,2,0
35,1,2,0,84,1,954,1,1
34,5,1,0,4622,1,217,1,0
34,0,1,0,869,0,1677,1,1
54,1,1,0,0,0,766,3,1
41,0,1,0,0,1,595,2,0
33,2,1,0,881,1,67,5,0
22,11,0,0,254,0,143,2,1
24,5,0,0,833,1,956,1,1
66,8,1,2,1230,0,288,6,1
32,3,0,1,597,0,869,1,0
39,7,1,0,0,0,108,7,0
27,3,0,0,967,1,162,1,0
61,4,1,1,5267,0,226,3,1
40,3,1,1,384,0,200,3,0
35,0,1,0,-87,1,1363,7,1
22,11,0,0,107,0,125,1,1
45,2,0,2,1893,1,1259,6,1
38,1,1,0,1919,0,846,1,1
47,0,1,0,1265,0,137,2,0
24,11,0,1,834,0,679,1,1
35,10,0,1,5462,0,188,1,1
35,7,0,1,145,1,799,2,1
28,0,1,0,1595,0,268,1,1
73,4,1,3,519,0,434,1,1
42,0,1,0,105,0,1159,4,1
42,10,1,1,1932,1,192,32,0
33,3,0,1,1304,1,536,2,1
25,0,1,1,906,0,253,1,1
49,2,1,0,2416,1,1366,1,1
36,0,0,0,1281,0,119,2,0
26,3,0,1,-8,0,402,2,0
32,1,0,1,2481,0,547,11,0
43,3,1,1,175,1,129,4,0
45,0,1,0,0,0,145,10,0
46,10,1,0,706,0,588,1,1
36,3,1,1,-861,1,53,2,0
53,8,1,0,1182,1,82,1,0
54,1,1,0,3994,0,595,2,1
85,4,1,2,98,0,416,1,1
30,1,0,0,86,0,45,1,0
56,1,1,0,23,0,857,3,1
35,3,1,1,4124,1,350,2,1
34,2,1,0,40,1,302,2,0
31,1,0,1,882,0,293,1,1
26,1,0,0,218,1,436,1,0
28,2,0,0,123,1,115,1,0
24,1,1,0,556,1,278,1,1
29,3,0,1,3846,0,313,2,1
39,1,1,0,1965,1,65,1,0
36,5,1,3,722,1,268,2,0
32,3,0,1,316,1,215,3,0
41,5,1,0,1236,1,911,3,1
35,10,1,1,1178,1,220,2,0
43,3,1,1,839,0,942,1,1
82,4,1,3,211,0,195,3,0
41,0,1,2,-306,1,500,1,1
34,1,1,0,159,1,252,1,1
32,3,0,1,819,1,114,2,1
31,1,1,0,183,0,495,1,1
30,11,0,0,1779,0,233,1,1
49,3,0,1,370,0,386,3,0
39,3,1,1,0,0,93,25,0
35,5,1,1,5271,1,119,2,0
51,0,2,0,2195,1,59,1,0
51,3,1,1,0,1,263,1,0
23,11,0,0,922,0,538,2,1
57,4,1,2,9367,0,700,4,1
53,3,1,1,5261,0,1209,3,0
36,2,1,0,11650,1,268,1,1
51,6,2,1,0,0,574,2,1
39,3,1,0,517,1,387,3,0
28,2,0,0,3331,1,229,2,0
46,1,2,0,-90,0,270,1,1
28,1,0,0,631,0,835,7,0
34,0,1,0,-312,1,232,1,0
55,8,1,2,4,0,85,3,0
39,6,1,2,7005,1,429,2,1
26,5,0,2,941,0,1165,1,1
48,5,1,2,214,1,307,1,1
32,2,1,0,1398,1,233,1,0
58,3,1,0,2155,0,248,2,1
33,5,1,0,89,1,278,2,1
46,0,2,0,2196,0,573,5,1
56,1,1,1,1062,0,37,2,0
37,3,1,1,0,0,426,2,1
28,1,0,0,922,1,304,1,0
32,8,1,2,51,1,324,1,0
27,3,0,1,703,1,590,3,1
40,0,0,0,985,1,592,3,1
63,4,1,0,2896,0,180,2,1
32,0,1,0,1661,1,76,1,0
58,8,1,2,435,1,122,6,0
63,1,1,0,896,1,276,2,1
30,3,0,1,5561,1,195,1,1
32,3,1,1,4733,0,532,1,1
39,3,0,1,633,0,105,2,0
52,7,0,1,3469,1,653,1,1
34,1,1,0,0,0,183,10,0
34,5,0,0,39,0,254,2,0
37,3,0,1,2875,0,110,2,0
60,4,1,0,404,0,308,2,1
56,3,1,1,616,0,225,1,1
36,1,0,0,0,0,8,13,0
21,11,0,2,8278,0,445,1,1
48,9,0,3,1819,0,1440,1,1
38,1,1,0,185,0,44,16,0
40,8,2,0,108,0,93,1,0
65,8,1,2,715,0,323,1,1
48,8,0,2,46,0,113,2,1
35,3,1,1,2161,0,569,3,1
32,10,1,1,1423,0,1249,4,1
36,1,1,1,4596,1,901,2,1
46,5,1,0,942,0,240,3,0
38,0,1,0,47,1,288,5,1
67,4,1,1,3810,0,1206,1,0
50,3,1,1,101,1,348,1,0
58,10,1,0,0,1,272,9,0
42,1,1,0,3082,0,285,1,1
59,0,1,0,1575,1,301,3,0
33,5,1,0,312,1,151,2,0
51,3,1,1,346,0,237,1,1
66,4,1,2,3629,0,474,1,1
30,3,1,1,-250,1,11,6,0
37,0,0,1,1000,1,239,1,1
54,1,1,1,337,1,302,2,0
40,3,1,1,2487,0,126,1,0
42,1,1,3,1559,0,368,1,1
36,2,1,0,2984,1,394,1,1
67,0,1,2,1093,0,64,3,0
42,0,2,0,2129,0,633,1,1
34,2,2,0,1281,0,237,1,0
46,0,1,0,659,1,1127,11,1
31,1,0,0,4888,1,475,4,0
47,5,1,0,581,1,79,6,0
50,3,1,1,346,0,178,1,1
45,1,0,1,5336,0,99,2,0
58,4,1,0,2714,0,165,1,1
22,0,0,1,897,1,133,4,1
31,3,1,1,546,0,147,2,0
50,0,1,0,4117,0,530,1,1
52,8,1,2,3798,1,1208,1,1
29,11,0,1,163,0,249,1,1
38,1,1,1,127,1,113,1,0
21,11,0,3,1506,0,340,1,1
42,10,1,0,1216,1,296,1,1
58,10,1,1,-364,1,355,1,0
31,3,1,1,1331,0,182,2,1
40,5,1,0,1508,0,177,2,0
37,3,1,1,393,1,567,3,1
32,7,1,0,390,0,440,1,1
54,5,1,0,1636,0,1008,2,1
33,0,1,0,0,1,78,1,0
51,5,1,0,814,1,17,8,0
49,5,1,2,3,0,1439,6,1
39,3,2,1,30,0,265,4,0
59,0,2,0,1525,0,90,2,0
20,11,0,3,829,0,253,2,1
60,3,0,1,560,0,730,5,1
45,0,2,0,-176,0,574,1,1
37,5,2,0,614,1,185,1,0
28,10,0,1,4579,0,409,2,1
60,5,2,2,92,1,70,3,0
28,6,1,2,7459,1,981,5,1
35,5,1,3,1084,1,1019,1,0
47,7,1,3,1481,1,64,2,0
55,3,1,1,13578,0,247,2,0
37,0,1,0,0,1,107,1,1
46,5,2,0,138,0,277,1,0
50,3,2,1,201,1,248,1,0
31,1,0,1,1109,0,642,1,1
36,2,1,1,0,1,52,1,0
37,0,1,1,3913,1,124,1,1
28,1,0,0,100,1,70,5,0
42,3,1,1,441,0,296,9,0
56,3,1,1,1390,1,543,1,1
39,5,1,0,1756,1,939,1,1
45,10,1,0,396,0,238,1,0
26,1,0,0,3244,0,141,1,0
41,3,1,1,326,1,788,1,1
47,5,1,3,162,0,366,3,1
54,10,1,1,990,0,244,2,1
59,0,1,2,1040,0,733,1,0
39,2,1,2,324,1,340,2,0
39,1,2,0,291,1,882,2,1
30,1,0,0,54,0,194,2,0
33,2,2,3,392,1,753,4,0
47,0,1,0,70,1,144,4,1
26,5,1,0,245,1,146,2,0
36,1,1,1,911,1,275,3,0
66,4,1,0,2048,0,212,1,1
45,5,0,1,-243,0,171,2,0
39,10,2,0,-103,0,210,3,0
38,1,2,0,631,1,343,2,0
44,1,1,0,7649,0,188,6,0
43,1,1,1,0,0,1488,2,1
30,1,0,1,635,0,851,8,1
37,5,1,0,3884,1,28,5,0
41,5,0,2,1618,1,1553,1,1
43,5,1,2,8,0,245,5,0
26,5,0,0,-128,0,392,2,0
43,3,1,1,-183,0,65,1,0
22,11,0,1,1161,0,119,1,0
30,0,0,0,-548,1,70,2,0
37,7,1,0,-170,1,39,1,0
35,5,1,0,1330,0,901,1,1
40,0,0,0,50,0,837,1,1
58,0,0,0,247,0,66,6,0
46,7,1,0,3317,0,231,2,0
63,4,2,1,0,0,263,1,1
32,10,0,1,0,1,767,1,1
41,3,2,1,5037,0,252,9,1
51,5,1,0,2007,1,1226,3,1
70,4,1,2,2795,0,301,2,1
30,2,0,2,0,1,686,1,1
60,4,1,2,55,0,207,1,0
25,5,0,0,509,0,418,1,1
45,6,1,1,1148,0,782,2,0
31,1,1,0,684,1,620,3,1
29,5,0,1,455,0,542,4,1
31,0,0,0,19,1,1978,1,1
53,7,0,3,717,0,594,2,0
54,0,2,0,1693,0,1277,1,1
33,7,1,0,-627,1,740,1,1
34,0,0,0,79,1,219,3,0
57,4,1,1,1269,0,1120,1,1
55,0,1,0,512,0,115,4,0
32,3,1,1,282,0,92,2,0
33,1,1,0,5083,0,161,1,0
40,4,1,1,794,0,138,1,0
48,10,0,3,0,0,453,1,0
38,6,1,0,0,0,168,2,0
26,5,0,0,5005,0,117,1,1
36,0,0,0,115,0,134,3,0
60,4,1,0,18967,1,177,2,1
53,5,1,0,-76,0,173,1,0
39,3,1,0,1880,0,768,2,1
49,3,1,1,735,1,50,3,0
37,6,1,1,1236,0,300,2,0
69,4,0,1,2144,0,417,1,1
41,3,1,0,280,1,87,2,1
56,1,0,0,751,1,43,8,0
43,0,1,0,1996,0,34,3,0
60,4,1,0,597,0,981,1,1
30,0,0,0,523,0,136,3,0
33,1,0,1,149,1,424,2,1
56,0,1,0,1554,1,15,6,0
50,8,1,2,5296,0,64,7,0
41,5,1,0,849,1,100,4,0
56,5,1,2,3498,0,264,2,1
28,3,0,1,150,1,491,1,0
43,0,1,0,132,0,187,2,1
34,1,0,0,179,0,294,3,0
29,1,0,0,674,0,483,1,1
37,10,1,0,487,0,155,15,0
60,5,2,0,1310,0,152,2,0
34,3,1,1,0,0,120,2,0
28,0,0,0,520,1,29,1,0
58,2,1,0,1667,1,85,1,0
43,2,0,0,550,1,107,2,0
40,1,2,0,0,0,299,3,0
47,3,1,1,866,0,7,7,0
40,0,0,1,27,0,467,2,1
36,1,1,0,0,1,193,5,0
43,10,0,2,1337,1,632,2,0
43,3,1,1,2640,0,314,4,1
35,3,1,1,323,0,261,2,1
47,0,1,0,1387,1,158,1,0
37,3,1,1,57,0,96,2,0
42,5,1,0,108,1,51,21,0
42,5,1,0,443,1,671,5,1
28,3,0,1,187,0,295,1,1
30,3,1,1,265,1,45,4,0
31,3,0,1,3384,0,247,3,1
40,0,0,0,664,0,188,2,0
43,5,1,0,-312,1,26,11,0
49,3,2,1,9326,1,166,1,0
38,3,1,1,595,1,70,1,0
36,3,1,1,495,0,91,1,1
32,1,1,0,3271,0,375,1,1
55,2,1,0,2476,1,579,1,1
25,0,0,0,120,1,542,1,0
34,5,1,0,-436,1,317,1,0
27,3,0,1,1720,0,284,2,1
51,5,1,2,603,1,853,2,1
31,1,0,1,1166,1,207,1,0
52,2,1,2,306,1,650,5,1
48,2,2,2,2805,0,212,2,0
56,10,1,0,784,0,149,2,0
31,3,0,1,37,0,669,2,1
53,1,0,0,-165,1,89,1,0
24,0,1,0,541,1,622,4,0
29,5,0,0,908,1,1663,1,1
32,1,0,0,10,0,190,2,0
28,2,0,0,217,1,379,3,0
67,4,1,3,2540,0,279,3,1
36,2,0,0,0,1,1002,4,1
33,3,1,1,1148,0,299,1,0
34,3,0,1,-292,1,181,6,0
32,8,1,2,-184,1,129,2,0
40,5,1,2,-388,1,195,3,0
54,4,0,0,129,0,867,2,1
41,5,1,2,3140,1,87,9,0
37,2,1,0,52,1,908,1,1
42,5,1,0,3,1,34,1,0
32,1,0,3,317,1,394,2,0
31,0,0,0,3950,1,529,1,1
31,3,0,1,3283,0,258,1,1
31,0,1,0,8784,1,63,2,0
34,3,0,1,621,0,205,3,0
59,1,1,2,309,0,25,5,0
29,5,1,0,294,1,594,2,0
38,2,0,0,2253,1,937,3,1
35,10,0,1,71,0,651,1,1
30,1,1,0,207,1,72,2,0
35,0,1,1,286,0,949,2,1
30,0,0,0,983,1,189,2,1
24,0,1,0,0,1,284,1,0
56,3,1,1,-45,1,116,6,0
32,3,0,1,1434,0,1144,3,0
38,2,1,0,8876,0,280,1,0
27,1,0,0,2,1,554,2,1
48,5,1,3,113,0,104,13,0
30,3,0,1,35,0,185,4,0
40,5,1,2,236,1,167,2,0
52,0,0,3,872,1,82,6,0
43,3,1,1,0,1,474,1,0
33,0,0,0,315,1,888,3,1
33,5,1,3,2655,1,195,1,0
43,1,1,1,2643,0,188,3,1
54,2,1,3,386,0,74,1,0
36,0,0,3,1815,0,387,1,0
39,0,0,0,223,0,277,1,0
37,3,0,1,230,1,120,2,0
41,2,1,0,241,1,144,1,0
37,3,1,1,630,0,315,1,1
49,5,1,2,361,1,513,2,1
26,0,0,2,-122,1,670,3,1
31,2,0,0,1629,1,344,2,0
27,5,0,0,3792,0,279,2,1
37,1,1,0,2707,1,109,1,0
23,7,0,2,4,1,395,2,1
27,1,0,1,372,1,728,2,1
31,5,1,0,2591,1,55,1,0
46,5,1,2,1291,1,142,3,0
37,2,1,0,144,1,724,2,0
37,3,1,1,620,1,93,3,0
30,2,1,0,1256,1,123,3,0
34,1,2,0,27,1,133,3,0
27,0,0,0,3,1,346,2,0
58,4,1,1,1425,0,224,1,1
61,4,1,0,89,0,154,1,0
34,10,1,0,179,1,137,4,0
35,1,0,0,196,1,318,1,0
57,3,1,1,473,0,295,1,1
40,6,0,1,7968,0,733,1,1
47,1,1,0,1571,1,261,1,0
44,10,2,1,1070,1,172,1,1
37,5,2,0,811,1,185,3,0
75,4,2,1,3810,1,262,1,1
31,1,0,0,4105,0,264,1,0
53,0,2,0,1151,1,412,1,0
37,5,1,0,2924,0,74,2,0
33,5,0,2,1,1,257,1,0
30,3,1,1,882,0,102,6,0
53,2,2,0,0,0,80,2,1
49,4,1,3,247,0,213,2,0
44,1,2,0,982,1,650,3,1
31,3,0,1,2,0,848,1,1
56,3,2,1,3287,0,497,1,1
68,4,1,0,2469,1,552,2,1
33,5,1,0,842,0,111,4,0
30,2,0,0,1881,0,29,1,0
28,5,1,0,708,1,339,5,0
38,5,1,0,1627,0,1323,9,1
39,3,1,1,-233,1,249,1,0
36,5,1,2,1177,0,330,1,1
54,5,1,2,950,1,285,2,0
55,1,1,3,1393,1,55,5,0
29,0,0,0,1261,0,605,1,0
33,1,0,0,3059,0,482,2,1
38,5,1,0,-367,1,354,1,0
38,11,0,1,3316,0,1345,3,1
27,0,1,0,1596,0,82,1,1
52,5,1,2,36,0,109,2,0
29,3,0,1,119,1,136,2,0
36,1,2,0,3158,1,144,2,1
31,2,0,1,1626,0,15,1,0
55,5,1,0,2854,1,312,1,0
41,3,0,1,0,0,91,2,0
38,3,1,1,980,0,662,5,0
51,1,0,1,11222,1,126,2,0
34,6,1,0,978,0,132,1,1
40,1,1,0,372,1,365,1,0
28,5,0,0,-193,0,580,7,0
32,3,1,1,141,1,78,3,0
46,0,1,0,974,0,178,1,1
35,8,0,2,745,0,522,3,1
46,6,0,1,44,0,225,1,1
40,2,2,0,687,1,531,1,1
33,5,1,2,-191,1,1290,4,1
57,3,1,1,375,0,135,1,1
36,1,1,0,4613,0,320,1,0
31,3,2,1,883,1,112,2,1
56,1,1,0,6619,1,465,1,1
38,5,2,0,0,1,162,1,1
46,0,2,2,429,1,465,2,1
54,3,2,1,496,0,452,3,1
54,1,2,0,859,0,710,1,1
30,5,1,0,278,1,1073,1,1
40,5,1,0,5060,0,299,1,1
27,11,0,0,111,0,495,2,1
43,3,2,1,1133,1,131,1,0
57,3,1,1,1660,0,642,1,1
37,3,1,0,565,0,174,1,1
56,3,1,1,2366,1,538,2,0
49,1,1,0,905,0,1543,1,1
51,0,0,0,1994,0,771,2,1
30,5,1,0,321,1,738,2,0
48,8,1,2,7195,0,609,2,1
72,4,1,2,4657,0,305,3,1
29,1,1,0,95,0,172,3,1
39,5,0,1,48,0,539,1,1
32,0,1,0,205,0,197,3,0
64,4,1,0,1574,0,301,3,1
53,1,1,1,476,1,160,1,0
38,1,1,0,0,0,635,1,1
64,4,1,0,1612,0,336,1,1
31,5,1,0,754,1,1022,4,1
31,1,0,1,208,0,1344,7,1
63,0,2,0,4680,0,953,2,1
32,0,0,1,8866,0,234,2,1
46,0,0,0,1693,1,427,1,1
35,5,1,0,5639,1,945,2,1
28,2,0,0,198,0,128,2,1
37,6,0,0,48,0,40,10,0
28,5,0,0,517,0,681,1,1
38,5,1,2,3419,1,324,5,0
51,5,1,2,230,1,673,1,0
59,10,1,1,2013,0,409,2,1
42,3,1,1,187,0,64,1,0
37,1,1,0,588,1,65,4,0
47,7,1,1,0,0,103,2,0
36,8,1,0,205,1,176,4,0
34,10,0,0,296,0,609,13,1
54,4,1,2,136,1,352,1,0
32,1,1,1,514,1,414,2,0
34,7,1,0,223,0,103,6,0
38,1,1,1,202,0,1311,2,1
53,5,1,0,4380,0,223,7,0
53,1,1,1,2557,0,95,4,0
53,5,1,0,1653,0,88,2,0
34,5,0,0,2764,1,158,1,0
48,5,1,2,430,0,340,3,0
41,0,0,0,812,0,583,4,1
51,0,0,0,895,0,638,2,1
35,1,0,0,1001,0,178,2,0
31,1,1,1,95,0,48,6,0
69,1,1,0,9064,0,714,1,1
64,4,2,0,4833,0,621,1,1
37,5,1,0,740,1,434,3,0
40,5,1,0,100,1,218,2,0
47,5,1,0,1536,1,41,1,0
37,0,1,0,274,1,731,3,1
29,3,0,1,572,1,319,1,1
37,3,0,1,1730,0,167,1,1
51,1,1,0,216,0,615,2,1
32,1,0,1,392,1,148,2,0
33,2,2,0,2411,1,130,1,1
26,11,0,1,10086,0,110,2,1
53,3,1,1,241,1,137,1,0
30,3,0,1,3473,0,1209,2,1
29,5,1,2,787,1,257,2,0
26,6,0,1,3511,0,439,2,1
43,2,1,0,774,0,101,1,1
47,5,1,2,4157,0,90,3,0
33,1,1,0,346,1,379,1,0
38,2,1,0,-314,1,66,2,0
30,10,0,0,192,0,423,1,0
33,3,1,1,679,0,1109,2,1
31,3,2,1,1145,1,1272,4,1
50,7,1,2,199,0,228,2,0
44,1,0,2,237,1,54,1,0
31,3,1,1,1343,1,85,1,0
29,0,0,0,3794,0,249,1,0
33,2,0,1,-452,0,692,2,1
31,5,1,0,-190,1,299,3,0
31,3,0,1,2907,1,248,1,1
42,6,1,0,-165,1,179,3,0
44,7,1,1,1631,1,81,1,0
36,0,0,1,3954,1,432,1,0
35,3,1,1,-196,1,216,2,0
34,7,2,1,262,0,371,1,0
25,3,0,1,2305,0,207,1,0
41,2,1,0,3992,1,281,2,0
38,1,1,0,1696,0,267,2,0
45,5,0,0,0,1,283,1,0
36,7,1,2,177,1,63,5,0
32,5,0,2,12198,1,178,1,1
92,4,1,3,775,0,313,3,1
30,3,0,1,232,0,141,1,1
37,3,2,1,1775,0,514,5,1
31,3,1,1,1224,1,1441,2,1
87,4,1,2,230,0,144,1,1
41,0,2,0,322,1,87,4,0
35,5,1,0,270,1,332,2,0
28,1,0,1,1628,1,1422,2,1
46,3,2,1,1329,0,247,2,1
57,1,1,0,28,1,163,1,0
39,0,1,1,259,1,27,1,0
50,1,2,3,2794,0,1336,2,1
46,1,1,0,863,1,67,3,0
66,8,1,0,1929,0,169,1,0
36,3,2,1,59,0,526,2,1
31,3,1,1,1575,0,178,4,0
25,11,0,0,469,0,524,1,0
33,0,1,1,79,1,249,2,1
47,3,1,2,2793,1,102,4,0
56,4,1,1,5769,0,15,3,0
73,4,0,0,1050,0,562,3,1
26,5,0,1,567,0,421,1,1
38,3,1,1,1354,1,50,2,0
32,2,0,0,772,1,697,3,1
38,2,0,0,895,1,1531,1,1
46,0,2,0,2087,0,768,3,1
